YearMonth,Bookings
2006Jan,383
2006Feb,366
2006Mar,250
2006Apr,318
2006May,334
2006Jun,397
2006Jul,575
2006Aug,701
2006Sep,506
2006Oct,335
2006Nov,372
2006Dec,580
2007Jan,751
2007Feb,498
2007Mar,649
2007Apr,478
2007May,606
2007Jun,980
2007Jul,1137
2007Aug,1280
2007Sep,987
2007Oct,723
2007Nov,545
2007Dec,731
2008Jan,1615
2008Feb,1219
2008Mar,940
2008Apr,670
2008May,972
2008Jun,1543
2008Jul,2079
2008Aug,1928
2008Sep,1509
2008Oct,1047
2008Nov,712
2008Dec,1492
2009Jan,2214
2009Feb,1928
2009Mar,1780
2009Apr,1458
2009May,1573
2009Jun,2138
2009Jul,2864
2009Aug,3216
2009Sep,1927
2009Oct,1415
2009Nov,1371
2009Dec,2629
2010Jan,3392
2010Feb,3246
2010Mar,2334
2010Apr,1723
2010May,2458
2010Jun,2709
2010Jul,4615
2010Aug,5739
2010Sep,2913
2010Oct,1939
2010Nov,2039
2010Dec,3312
2011Jan,7146
2011Feb,4093
2011Mar,3537
2011Apr,2757
2011May,3045
2011Jun,4827
2011Jul,4163
2011Aug,7811
2011Sep,4644
2011Oct,4645
2011Nov,2980
2011Dec,4515
2012Jan,8133
2012Feb,5337
2012Mar,3946
2012Apr,4286
2012May,4761
2012Jun,7012
2012Jul,8237
2012Aug,8553
2012Sep,6198
2012Oct,4872
2012Nov,4892
2012Dec,5880
2013Jan,11878
2013Feb,9398
2013Mar,8083
2013Apr,5634
2013May,7675
2013Jun,10328
2013Jul,10539
2013Aug,15578
2013Sep,11067
2013Oct,7534
2013Nov,7023
2013Dec,10733
2014Jan,11853
2014Feb,10716
2014Mar,7405
2014Apr,7009
2014May,8340
2014Jun,12437
2014Jul,12269
2014Aug,17367
2014Sep,10116
2014Oct,10479
2014Nov,9874
2014Dec,13080
2015Jan,12734
2015Feb,12876
2015Mar,9012
2015Apr,7730
2015May,9102
2015Jun,12055
2015Jul,13496
2015Aug,18478
2015Sep,12004
2015Oct,9789
2015Nov,10003
2015Dec,13304
